rank	URI	name	Linked Institution	P	P_top	PP_top
237	http://dbpedia.org/resource/University_of_Southern_Denmark	University of Southern Denmark	University of Southern Denmark	2178	240	11,0%
238	http://dbpedia.org/resource/University_of_Cape_Town	University of Cape Town	University of Cape Town	2333	257	11,0%
239	http://dbpedia.org/resource/Berlin_Institute_of_Technology	Technische Universität Berlin	Technische Universität Berlin	2285	251	11,0%
240	http://dbpedia.org/resource/Wake_Forest_University	Wake Forest University	Wake Forest University	2793	307	11,0%
241	http://dbpedia.org/resource/University_of_Bath	University of Bath	University of Bath	2109	232	11,0%
242	http://dbpedia.org/resource/University_of_Vienna	University of Vienna	University of Vienna	3226	354	11,0%
243	http://dbpedia.org/resource/Universit%C3%A9_du_Qu%C3%A9bec_%C3%A0_Montr%C3%A9al	Université du Québec a Montréal	Université du Québec a Montréal	1227	135	11,0%
244	http://dbpedia.org/resource/Ghent_University	Ghent University	Ghent University	7050	772	10,9%
245	http://dbpedia.org/resource/Newcastle_University	University of Newcastle	University of Newcastle	2094	229	10,9%
246	http://dbpedia.org/resource/University_of_Antwerp	University of Antwerp	University of Antwerp	2436	266	10,9%
247	http://dbpedia.org/resource/Tulane_University	Tulane University	Tulane University	1919	210	10,9%
248	http://dbpedia.org/resource/Claude_Bernard_University_Lyon_1	University Claude Bernard Lyon I	University Claude Bernard Lyon I	4418	482	10,9%
249	http://dbpedia.org/resource/University_of_Otago	University of Otago	University of Otago	3368	366	10,9%
250	http://dbpedia.org/resource/University_of_Sydney	University of Sydney	University of Sydney	9720	1056	10,9%
